,Feature,Shapley (Accuracy),Shapley (Discrimination)
0,Prior Count,2.459747378183318,7174550.480241617
1,Gender,1.3660851754956185,4921023.934419937
2,Age (Categorical),1.2935471892398982,4033771.7144685625
3,Length of Stay,1.3115113188612186,3675582.6232511746
4,Charge Degree,1.236040708296114,3070005.7769011413
